Date,Day of Week,Item Name,Category,Price (£),Quantity Sold,Outside Temp (Celsius)
2025-05-16,Friday,Smoothie,,1.51,41,21.2
2025-05-17,Saturday,Soup of the Day,Hot Food,2.58,45,18.0
2025-05-17,Saturday,Smoothie,Cold Drink,1.71,37,18.0
2025-05-17,Saturday,Soup of the Day,,2.89,46,20.9
2025-05-17,Saturday,Pretzels,Snack,0.74,23,22.1
2025-05-17,Saturday,Apple,,0.47,27,19.7
2025-05-18,Sunday,Water,Cold Drink,1.11,39,20.4
2025-05-18,Sunday,Apple,Fruit,0.69,34,25.4
2025-05-18,Sunday,Cookie,Snack,0.89,19,17.1
2025-05-20,Tuesday,Grapes,Fruit,0.54,19,21.1
2025-05-21,Wednesday,Pizza Slice,Hot Food,4.06,37,22.9
2025-05-22,Thursday,Pasta Bake,Hot Food,4.45,35,20.7
2025-05-23,Friday,Fruit Pot,,0.67,18,19.6
2025-05-23,Friday,Jacket Potato,Hot Food,2.81,40,23.8
2025-05-23,Friday,Flapjack,Snack,0.6,23,18.1
2025-05-24,Saturday,Pretzels,Snack,0.94,23,19.9
2025-05-24,Saturday,Flapjack,Snack,0.95,21,26.7
2025-05-24,Saturday,Jacket Potato,Hot Food,2.92,51,20.4
2025-05-25,Sunday,Chicken Curry,Hot Food,2.5,23,24.9
2025-05-25,Sunday,Jacket Potato,Hot Food,3.49,41,22.0
2025-05-26,Monday,Pretzels,Snack,1.47,21,19.3
2025-05-26,Monday,Cookie,Snack,1.06,20,23.5
2025-05-26,Monday,Iced Tea,Cold Drink,1.36,30,20.7
2025-05-26,Monday,Smoothie,Cold Drink,1.46,40,22.1
2025-05-27,Tuesday,Banana,Fruit,0.72,25,19.3
2025-05-27,Tuesday,Cookie,Snack,0.69,22,20.7
2025-05-28,Wednesday,Chicken Curry,Hot Food,2.35,47,24.0
2025-05-28,Wednesday,Jacket Potato,Hot Food,3.18,53,21.2
2025-05-28,Wednesday,Water,Cold Drink,1.23,33,21.8
2025-05-28,Wednesday,Jacket Potato,Hot Food,4.19,31,22.7
2025-05-28,Wednesday,Pasta Bake,Hot Food,3.8,46,17.9
2025-05-29,Thursday,Orange Juice,Cold Drink,1.43,32,21.1
2025-05-29,Thursday,Orange,Fruit,0.47,20,20.8
2025-05-29,Thursday,Soup of the Day,Hot Food,4.44,42,19.8
2025-05-29,Thursday,Soup of the Day,Hot Food,2.68,37,21.1
2025-05-31,Saturday,Pasta Bake,Hot Food,3.12,32,23.6
2025-05-31,Saturday,Sausage Roll,Hot Food,3.38,30,23.3
2025-05-31,Saturday,Crisps,Snack,1.43,12,19.6
2025-06-01,Sunday,Pizza Slice,Hot Food,3.88,47,19.0
2025-06-01,Sunday,Sausage Roll,Hot Food,2.25,40,22.8
2025-06-01,Sunday,Flapjack,Snack,1.36,19,20.7
2025-06-03,Tuesday,Orange Juice,Cold Drink,1.1,29,21.5
2025-06-06,Friday,Mac & Cheese,Hot Food,3.57,32,26.2
2025-06-06,Friday,Smoothie,Cold Drink,1.44,36,21.6
2025-06-06,Friday,Mac & Cheese,Hot Food,3.85,35,21.8
2025-06-08,Sunday,Milk,Cold Drink,1.08,31,18.0
2025-06-08,Sunday,Crisps,Snack,1.29,26,23.7
2025-06-09,Monday,Jacket Potato,Hot Food,3.22,19,26.9
2025-06-09,Monday,Jacket Potato,Hot Food,3.18,35,21.0
2025-06-10,Tuesday,Milk,Cold Drink,1.36,32,23.4
2025-06-10,Tuesday,Sausage Roll,,2.97,35,20.5
2025-06-10,Tuesday,Pretzels,Snack,1.3,15,23.0
2025-06-10,Tuesday,Orange,Fruit,0.58,31,26.0
2025-06-11,Wednesday,Pizza Slice,Hot Food,2.22,39,24.6
2025-06-11,Wednesday,Pasta Bake,Hot Food,4.4,27,24.1
2025-06-12,Thursday,Fruit Pot,Fruit,0.41,12,25.6
2025-06-13,Friday,Sausage Roll,Hot Food,4.29,35,24.3
2025-06-13,Friday,Milk,Cold Drink,0.96,33,21.2
2025-06-14,Saturday,Milk,Cold Drink,0.81,39,22.5
2025-06-14,Saturday,Pretzels,Snack,1.01,30,26.9
2025-06-15,Sunday,Cereal Bar,Snack,1.38,14,23.1
2025-06-15,Sunday,Pretzels,Snack,0.69,17,24.2
2025-06-15,Sunday,Soup of the Day,Hot Food,3.25,40,21.5
2025-06-15,Sunday,Pizza Slice,Hot Food,3.99,29,25.3
2025-06-15,Sunday,Pretzels,Snack,0.9,24,25.8
2025-06-16,Monday,Milk,Cold Drink,1.54,46,24.5
2025-06-16,Monday,Milk,Cold Drink,1.42,41,28.3
2025-06-16,Monday,Mac & Cheese,Hot Food,3.69,23,24.0
2025-06-16,Monday,Pizza Slice,,4.15,31,23.3
2025-06-17,Tuesday,Crisps,Snack,1.37,12,24.0
2025-06-17,Tuesday,Water,Cold Drink,1.22,44,26.9
2025-06-17,Tuesday,Crisps,Snack,1.01,20,23.3
2025-06-18,Wednesday,Cereal Bar,,0.63,26,23.7
2025-06-18,Wednesday,Orange Juice,Cold Drink,1.1,40,25.2
2025-06-19,Thursday,Sausage Roll,Hot Food,3.6,39,22.1
2025-06-19,Thursday,Pretzels,Snack,1.29,20,22.7
2025-06-19,Thursday,Iced Tea,Cold Drink,1.14,50,25.2
2025-06-20,Friday,Chicken Curry,Hot Food,4.18,32,24.7
2025-06-20,Friday,Apple,Fruit,0.48,15,23.9
2025-06-21,Saturday,Fruit Pot,Fruit,0.82,19,26.0
2025-06-21,Saturday,Cereal Bar,Snack,0.88,7,24.4
2025-06-22,Sunday,Mac & Cheese,Hot Food,2.72,23,27.1
2025-06-22,Sunday,Pizza Slice,Hot Food,3.01,52,19.5
2025-06-23,Monday,Grapes,,0.57,36,27.4
2025-06-23,Monday,Grapes,Fruit,0.63,22,23.4
2025-06-24,Tuesday,Pizza Slice,Hot Food,3.98,34,23.0
2025-06-27,Friday,Flapjack,Snack,1.23,8,24.5
2025-06-27,Friday,Milk,,0.94,45,28.2
2025-06-27,Friday,Flapjack,Snack,1.0,6,26.6
2025-06-28,Saturday,Chicken Curry,Hot Food,3.56,30,23.8
2025-06-28,Saturday,Flapjack,Snack,1.29,15,26.2
